year,sex,address,agegp,death,pop
60,1,01,Y00_04,1,108670
60,1,01,Y05_09,1,115162
60,1,01,Y10_14,0,111438
60,1,01,Y15_19,0,98861
60,1,01,Y20_24,0,75179
60,1,01,Y25_29,0,60430
60,1,01,Y30_34,0,59213
60,1,01,Y35_39,1,58755
60,1,01,Y40_44,1,78556
60,1,01,Y45_49,1,75137
60,1,01,Y50_54,2,50597
60,1,01,Y55_59,3,37110
60,1,01,Y60_64,6,20373
60,1,01,Y65_69,1,11728
60,1,01,Y70_74,1,5728
60,1,01,Y75_79,1,2562
60,1,01,Y80_84,1,980
60,1,01,Y85ABO,0,296
60,1,02,Y00_04,0,62691
60,1,02,Y05_09,0,62832
60,1,02,Y10_14,0,58417
60,1,02,Y15_19,0,51418
60,1,02,Y20_24,0,37336
60,1,02,Y25_29,0,31091
60,1,02,Y30_34,0,30698
60,1,02,Y35_39,0,29079
60,1,02,Y40_44,0,33829
60,1,02,Y45_49,0,28351
60,1,02,Y50_54,1,19535
60,1,02,Y55_59,1,13583
60,1,02,Y60_64,0,7502
60,1,02,Y65_69,0,4292
60,1,02,Y70_74,1,2227
60,1,02,Y75_79,2,993
60,1,02,Y80_84,0,377
60,1,02,Y85ABO,0,100
60,1,11,Y00_04,0,21166
60,1,11,Y05_09,0,23284
60,1,11,Y10_14,0,22714
60,1,11,Y15_19,0,19511
60,1,11,Y20_24,0,12547
60,1,11,Y25_29,0,8888
60,1,11,Y30_34,0,10103
60,1,11,Y35_39,0,9821
60,1,11,Y40_44,0,12321
60,1,11,Y45_49,2,11444
60,1,11,Y50_54,1,8203
60,1,11,Y55_59,3,6817
60,1,11,Y60_64,1,3790
60,1,11,Y65_69,1,2240
60,1,11,Y70_74,0,1116
60,1,11,Y75_79,3,470
60,1,11,Y80_84,0,142
60,1,11,Y85ABO,0,39
60,1,12,Y00_04,0,15018
60,1,12,Y05_09,0,16137
60,1,12,Y10_14,0,15339
60,1,12,Y15_19,0,14830
60,1,12,Y20_24,0,10756
60,1,12,Y25_29,0,7301
60,1,12,Y30_34,0,6800
60,1,12,Y35_39,0,6675
60,1,12,Y40_44,0,9309
60,1,12,Y45_49,1,9410
60,1,12,Y50_54,1,7152
60,1,12,Y55_59,0,4654
60,1,12,Y60_64,0,2695
60,1,12,Y65_69,1,1822
60,1,12,Y70_74,0,1036
60,1,12,Y75_79,0,456
60,1,12,Y80_84,0,170
60,1,12,Y85ABO,0,52
60,1,17,Y00_04,0,29304
60,1,17,Y05_09,0,31522
60,1,17,Y10_14,0,30327
60,1,17,Y15_19,0,27575
60,1,17,Y20_24,0,20687
60,1,17,Y25_29,0,14998
60,1,17,Y30_34,0,14451
60,1,17,Y35_39,0,13635
60,1,17,Y40_44,0,16026
60,1,17,Y45_49,0,13743
60,1,17,Y50_54,2,9556
60,1,17,Y55_59,1,7276
60,1,17,Y60_64,2,4318
60,1,17,Y65_69,3,2501
60,1,17,Y70_74,1,1285
60,1,17,Y75_79,0,531
60,1,17,Y80_84,0,183
60,1,17,Y85ABO,0,63
60,1,21,Y00_04,0,30376
60,1,21,Y05_09,0,32609
60,1,21,Y10_14,0,32232
60,1,21,Y15_19,0,29462
60,1,21,Y20_24,0,22409
60,1,21,Y25_29,1,16225
60,1,21,Y30_34,1,15672
60,1,21,Y35_39,0,14313
60,1,21,Y40_44,0,14972
60,1,21,Y45_49,0,12866
60,1,21,Y50_54,0,10122
60,1,21,Y55_59,0,7492
60,1,21,Y60_64,2,4752
60,1,21,Y65_69,0,3237
60,1,21,Y70_74,0,1868
60,1,21,Y75_79,1,890
60,1,21,Y80_84,0,320
60,1,21,Y85ABO,0,106
60,1,22,Y00_04,0,14217
60,1,22,Y05_09,0,16291
60,1,22,Y10_14,0,16896
60,1,22,Y15_19,0,15340
60,1,22,Y20_24,0,11011
60,1,22,Y25_29,0,7288
60,1,22,Y30_34,0,7296
60,1,22,Y35_39,1,7565
60,1,22,Y40_44,1,8867
60,1,22,Y45_49,1,7609
60,1,22,Y50_54,1,4986
60,1,22,Y55_59,0,3663
60,1,22,Y60_64,1,2422
60,1,22,Y65_69,0,1419
60,1,22,Y70_74,0,718
60,1,22,Y75_79,0,289
60,1,22,Y80_84,0,110
60,1,22,Y85ABO,0,30
60,1,31,Y00_04,0,91455
60,1,31,Y05_09,0,91780
60,1,31,Y10_14,0,80062
60,1,31,Y15_19,0,70015
60,1,31,Y20_24,0,49183
60,1,31,Y25_29,0,42835
60,1,31,Y30_34,0,43802
60,1,31,Y35_39,0,39664
60,1,31,Y40_44,2,43697
60,1,31,Y45_49,2,37671
60,1,31,Y50_54,2,27763
60,1,31,Y55_59,4,21712
60,1,31,Y60_64,3,13310
60,1,31,Y65_69,2,8541
60,1,31,Y70_74,3,4592
60,1,31,Y75_79,0,2043
60,1,31,Y80_84,0,786
60,1,31,Y85ABO,0,341
60,1,32,Y00_04,0,52979
60,1,32,Y05_09,0,54686
60,1,32,Y10_14,0,47363
60,1,32,Y15_19,0,41183
60,1,32,Y20_24,0,28550
60,1,32,Y25_29,1,21630
60,1,32,Y30_34,0,21669
60,1,32,Y35_39,0,22663
60,1,32,Y40_44,0,33078
60,1,32,Y45_49,0,24803
60,1,32,Y50_54,0,15740
60,1,32,Y55_59,1,11347
60,1,32,Y60_64,1,7205
60,1,32,Y65_69,3,4944
60,1,32,Y70_74,0,2959
60,1,32,Y75_79,1,1507
60,1,32,Y80_84,1,666
60,1,32,Y85ABO,0,256
60,1,33,Y00_04,0,23002
60,1,33,Y05_09,0,24788
60,1,33,Y10_14,0,23987
60,1,33,Y15_19,0,22105
60,1,33,Y20_24,0,15779
60,1,33,Y25_29,0,11724
60,1,33,Y30_34,0,11192
60,1,33,Y35_39,0,10098
60,1,33,Y40_44,0,11096
60,1,33,Y45_49,0,8570
60,1,33,Y50_54,0,6725
60,1,33,Y55_59,3,5979
60,1,33,Y60_64,2,4689
60,1,33,Y65_69,1,3043
60,1,33,Y70_74,1,1877
60,1,33,Y75_79,0,993
60,1,33,Y80_84,0,444
